001 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
002 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
003 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
004 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
005 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
006 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
007 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
008 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
009 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
010 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
011 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
012 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
013 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
014 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
015 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
016 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
017 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
018 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
019 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
020 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
021 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
022 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
023 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
024 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
025 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
026 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
027 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
028 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
029 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
030 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
031 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
032 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
033 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
034 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
035 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
036 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
037 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
038 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
039 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
040 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
041 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
042 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
043 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
044 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
045 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
046 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
047 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
048 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
049 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
050 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
051 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
052 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
053 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
054 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
055 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
056 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
057 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
058 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
059 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
060 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
061 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
062 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
063 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
064 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
065 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
066 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
067 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
068 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
069 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
070 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
071 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
072 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
073 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
074 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
075 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
076 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
